prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings,crashes,skids,utility
0.13768844221105528,32,3,0.627906976744186,6.85,230,31,88,7,4,-0.35407035175879364
0.12663316582914572,28,0,0.6,7.0,235,20,85,3,2,0.06502512562814079
0.0814070351758794,16,0,0.6363636363636364,8.1,250,11,49,0,2,0.36542713567839197
0.12462311557788945,35,2,0.5205479452054794,6.526315789473684,257,12,81,1,2,0.2624120603015076
0.11758793969849246,31,1,0.515625,5.571428571428571,274,12,66,2,3,0.15768844221105538
0.0814070351758794,19,1,0.45714285714285713,8.1,228,16,36,1,0,0.28592964824120615
0.0814070351758794,20,2,0.5555555555555556,6.230769230769231,250,12,53,2,0,0.1820100502512564
0.09949748743718594,26,2,0.559322033898305,5.823529411764706,250,11,68,1,0,0.285427135678392
0.11557788944723618,24,0,0.5789473684210527,7.1875,260,16,66,3,1,0.07668341708542732
0.09748743718592964,25,1,0.6428571428571429,6.466666666666667,309,20,68,1,1,0.274673366834171
0.07236180904522613,20,0,0.3333333333333333,6.545454545454546,241,24,27,2,1,0.17447236180904532
0.13266331658291458,31,2,0.5303030303030303,6.045454545454546,241,12,83,2,2,0.16562814070351767
0.08341708542713568,20,6,0.5833333333333334,7.545454545454546,266,19,48,1,2,0.2628140703517589
0.11457286432160804,27,0,0.5573770491803278,7.125,226,38,81,3,1,0.07417085427135693
0.10452261306532663,21,0,0.5116279069767442,8.0,258,18,48,3,1,0.07236180904522636
0.10251256281407035,30,3,0.5945945945945946,6.375,263,12,82,2,1,0.17226130653266353
0.0964824120603015,21,2,0.6818181818181818,6.4,234,18,68,0,1,0.3743718592964825
0.053266331658291456,9,0,0.35714285714285715,6.625,225,18,26,1,2,0.2595979899497488
0.09547738693467336,22,2,0.6666666666666666,7.916666666666667,257,11,77,1,2,0.26643216080402016
0.07537688442211055,20,3,0.6491228070175439,6.333333333333333,224,11,65,1,4,0.23989949748743725
0.0763819095477387,10,0,0.5,8.444444444444445,210,18,25,1,0,0.2837185929648242
0.09849246231155778,27,1,0.6029411764705882,5.444444444444445,302,19,68,1,0,0.28532663316582924
0.031155778894472363,9,1,0.18181818181818182,7.75,335,23,8,1,1,0.27376884422110564
0.08844221105527639,25,1,0.2857142857142857,5.5,244,44,28,3,2,0.06391959798994994
0.062311557788944726,19,3,0.6833333333333333,5.636363636363637,222,17,71,1,0,0.2807035175879397
0.12361809045226131,24,0,0.5471698113207547,7.235294117647059,265,18,65,5,1,-0.12452261306532644
0.0592964824120603,17,1,0.5526315789473685,5.9,327,25,41,0,1,0.3766834170854272
0.1135678391959799,27,1,0.4489795918367347,6.647058823529412,226,14,68,0,4,0.3388944723618091
0.07839195979899498,26,1,0.4583333333333333,4.875,260,19,47,1,1,0.2725628140703519
0.04522613065326633,11,0,0.717948717948718,4.5,277,17,40,0,2,0.3640201005025126
0.08442211055276382,21,0,0.6037735849056604,6.0,269,12,58,1,1,0.27527638190954784
0.0763819095477387,20,2,0.5918367346938775,5.066666666666666,249,11,53,0,0,0.38150753768844226
0.13366834170854272,35,4,0.453125,6.65,226,22,74,0,5,0.33447236180904527
0.04623115577889447,16,4,0.5294117647058824,4.6,254,13,30,1,1,0.27567839195979904
0.09045226130653267,28,1,0.5409836065573771,6.428571428571429,240,29,60,2,1,0.17889447236180916
0.13266331658291458,38,3,0.4794520547945205,6.0,231,84,64,4,4,-0.05839195979899483
0.054271356783919596,10,0,0.6774193548387096,7.714285714285714,256,16,32,1,0,0.28281407035175893
0.07738693467336684,21,2,0.6181818181818182,5.923076923076923,267,11,54,2,1,0.1737688442211056
0.06331658291457286,19,4,0.6779661016949152,7.0,266,17,69,0,3,0.34944723618090456
