prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings,crashes,skids,utility
0.12562814070351758,35,2,0.453125,5.681818181818182,226,13,72,2,2,0.1670351758793971
0.09045226130653267,21,1,0.5625,6.428571428571429,310,17,48,1,3,0.2536683417085428
0.0763819095477387,12,0,0.6129032258064516,7.6,286,18,35,1,2,0.2663316582914574
0.08743718592964825,21,1,0.38235294117647056,7.909090909090909,312,30,31,1,0,0.29125628140703524
0.11457286432160804,26,1,0.5357142857142857,6.705882352941177,223,19,71,0,2,0.3642211055276382
0.12160804020100502,20,0,0.6610169491525424,7.117647058823529,244,12,70,2,0,0.18834170854271365
0.11457286432160804,27,0,0.5423728813559322,6.333333333333333,228,11,63,0,1,0.3764824120603016
0.13969849246231156,26,0,0.5666666666666667,6.95,218,21,76,2,2,0.1630150753768846
0.08944723618090453,20,0,0.3548387096774194,8.090909090909092,273,25,47,1,4,0.24412060301507546
0.036180904522613064,8,1,0.6666666666666666,7.2,235,11,24,1,1,0.2768844221105528
0.10150753768844221,33,3,0.5217391304347826,5.611111111111111,281,33,74,6,0,-0.21728643216080384
0.08944723618090453,16,0,0.7241379310344828,8.9,234,23,70,0,1,0.37678391959798996
0.11658291457286432,27,1,0.5,7.25,288,34,65,0,1,0.3726633165829146
0.10954773869346733,29,0,0.5,6.055555555555555,216,11,63,3,1,0.0687437185929649
0.06432160804020101,14,1,0.5172413793103449,8.0,236,11,28,1,1,0.27316582914572873
0.04221105527638191,12,2,0.52,5.25,230,24,22,0,0,0.3819095477386935
0.11658291457286432,26,0,0.5185185185185185,6.823529411764706,268,13,59,1,3,0.25678391959799
0.1135678391959799,28,0,0.5087719298245614,6.705882352941177,263,12,60,0,2,0.36974874371859306
0.06432160804020101,13,1,0.48,6.4,280,23,29,1,1,0.2727638190954775
0.11256281407035176,25,0,0.6153846153846154,8.0,181,20,78,2,0,0.18080402010050262
0.15678391959798996,33,1,0.46774193548387094,7.090909090909091,243,23,71,4,2,-0.02693467336683401
0.13768844221105528,33,6,0.49230769230769234,8.058823529411764,264,38,54,4,0,-0.009045226130653151
0.135678391959799,29,0,0.49122807017543857,7.555555555555555,206,20,65,1,0,0.28763819095477394
0.0864321608040201,18,0,0.7096774193548387,5.733333333333333,322,17,67,0,1,0.3779899497487437
