avg_len_man,crashes,n_RtI,n_emergency,prob_underp_above_th,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
5.571428571428571,0,23,0,0.038598518013188365,0.07839195979899498,0.5818181818181818,59,19,1,235,0.3730653266331659
6.842105263157895,3,30,0,0.007201255689549546,0.1306532663316583,0.5454545454545454,78,13,5,222,0.027537688442211147
7.333333333333333,1,18,1,0.06536899239753224,0.06633165829145729,0.6842105263157895,63,25,0,246,0.2803015075376885
7.214285714285714,1,21,2,0.0007454451646232707,0.10150753768844221,0.5961538461538461,56,11,0,250,0.28663316582914583
8.23076923076923,1,19,2,0.011337949040151951,0.10753768844221105,0.62,59,13,4,200,0.24341708542713578
6.631578947368421,0,30,1,4.110708898263926e-05,0.12663316582914572,0.589041095890411,86,11,2,206,0.35829145728643214
6.6521739130434785,1,37,3,8.592676817409384e-06,0.1527638190954774,0.4032258064516129,71,29,3,213,0.2545728643216082
4.75,2,7,3,0.8788147971094036,0.019095477386934675,0.36363636363636365,8,14,0,280,0.18110552763819113
6.6,1,23,0,0.03047071394785783,0.09949748743718594,0.5964912280701754,68,11,3,228,0.2569849246231157
7.8125,2,23,0,2.6346157863899045e-05,0.12462311557788945,0.676056338028169,93,25,2,251,0.16321608040201016
6.466666666666667,1,23,2,0.010267427709809152,0.0964824120603015,0.5964912280701754,69,12,2,270,0.2636180904522613
7.0,1,25,2,0.008802955597222661,0.10552763819095477,0.5454545454545454,62,16,3,252,0.2533668341708544
5.823529411764706,2,28,0,0.003786696618297225,0.09949748743718594,0.4909090909090909,53,33,2,248,0.16291457286432176
5.625,0,13,0,0.3479091880704589,0.04522613065326633,0.6176470588235294,33,13,2,263,0.36592964824120605
8.2,2,13,0,0.05832868133159752,0.08241206030150754,0.6829268292682927,58,18,1,258,0.1701507537688444
5.75,2,30,4,0.0038177246681569965,0.11557788944723618,0.589041095890411,75,22,2,258,0.1657286432160805
6.916666666666667,1,18,3,0.11274293595948681,0.08341708542713568,0.55,49,11,3,296,0.2569849246231157
7.875,2,14,0,0.25414880876995105,0.06331658291457286,0.6888888888888889,49,12,3,277,0.1550753768844222
6.866666666666666,2,25,0,0.011486712093034979,0.1035175879396985,0.5689655172413793,66,12,3,259,0.1561809045226132
8.0,2,35,0,1.5774551314073904e-06,0.1527638190954774,0.47761194029850745,78,18,1,219,0.17527638190954783
