avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_puddle,prob_underp_above_th,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.40625,2,46,0,0,0.1,1.1316118153636978e-08,0.2050251256281407,0.5157894736842106,119,12,7,152,0.11226130653266339
7.72093023255814,3,65,0,0,0.2,7.861711281975658e-12,0.3336683417085427,0.4715447154471545,198,12,13,101,-0.06070351758793963
6.846938775510204,4,258,33,0,0.3,1.1102230246251565e-16,0.6733668341708543,0.1456953642384106,957,11,23,102,-0.2738693467336684
7.826086956521739,5,236,9,0,0.4,1.1102230246251565e-16,0.7226130653266332,0.14181818181818182,995,20,30,52,-0.45979899497487436
8.179775280898877,6,218,2,0,0.5,3.0475622025960547e-13,0.7306532663316583,0.18352059925093633,995,23,37,26,-0.6429145728643216
9.295081967213115,6,125,0,0,0.6,0.0010682143197517924,0.5688442211055277,0.7079439252336449,995,12,36,9,-0.6553768844221105
6.483870967741935,4,41,2,1,0.1,2.0829339364425437e-08,0.2020100502512563,0.5119047619047619,98,25,1,242,-0.023819095477386837
5.981308411214953,8,270,38,1,0.2,1.1102230246251565e-16,0.6412060301507537,0.11764705882352941,878,23,24,146,-0.6663316582914572
7.1938775510204085,2,242,15,1,0.3,1.1102230246251565e-16,0.7075376884422111,0.16551724137931034,989,10,26,76,-0.10321608040201007
7.505263157894737,3,244,8,1,0.4,1.8444135108097726e-12,0.714572864321608,0.13780918727915195,993,39,40,45,-0.3529648241206031
8.129411764705882,5,211,0,1,0.5,7.281475422615813e-11,0.6934673366834171,0.3059210526315789,995,13,42,31,-0.5884422110552765
9.680555555555555,5,164,0,1,0.6,1.1102230246251565e-16,0.700502512562814,0.4478114478114478,995,20,26,10,-0.4565829145728644
7.787878787878788,5,52,0,2,0.1,1.6595247398498714e-10,0.25829145728643216,0.47474747474747475,153,18,4,198,-0.15839195979899484
8.617021276595745,3,79,0,2,0.2,2.55351295663786e-15,0.40603015075376886,0.3969465648854962,211,12,15,81,-0.06773869346733666
6.017699115044247,9,271,29,2,0.3,1.1102230246251565e-16,0.6834170854271356,0.13694267515923567,995,14,22,122,-0.7514572864321608
7.880434782608695,6,234,10,2,0.4,5.404712233314513e-10,0.7276381909547739,0.13333333333333333,995,15,43,46,-0.6869346733668342
8.488372093023257,7,208,0,2,0.5,9.117706589734098e-12,0.7326633165829146,0.21509433962264152,995,12,43,22,-0.8091457286432161
8.461538461538462,1,168,0,2,0.6,6.410656313105001e-05,0.6603015075376885,0.5014836795252225,995,12,56,15,-0.3506532663316583
6.666666666666667,0,38,3,3,0.1,0.0012164641027653245,0.13969849246231156,0.4794520547945205,83,11,3,168,0.35206030150753775
6.301587301587301,2,112,4,3,0.2,1.0064171718227044e-12,0.39899497487437185,0.36,389,14,19,106,-0.011155778894472314
6.970873786407767,8,243,19,3,0.3,7.216449660063518e-15,0.7206030150753768,0.11956521739130435,989,12,39,100,-0.828643216080402
8.0,9,231,2,3,0.4,2.892130979148533e-13,0.7226130653266332,0.16,995,16,29,32,-0.8576884422110553
8.430232558139535,4,208,0,3,0.5,2.220446049250313e-16,0.7276381909547739,0.22962962962962963,995,24,38,23,-0.4504522613065327
8.26388888888889,3,152,0,3,0.6,2.398081733190338e-14,0.5969849246231156,0.62,995,17,23,20,-0.21628140703517593
6.866666666666666,1,51,2,4,0.1,1.1352134954289994e-07,0.207035175879397,0.5526315789473685,149,12,4,200,0.24562814070351768
7.769230769230769,4,80,1,4,0.2,8.366318748898038e-11,0.40603015075376886,0.42857142857142855,260,13,17,107,-0.1964824120603014
6.106194690265487,11,257,18,4,0.3,2.55351295663786e-14,0.6914572864321608,0.1490066225165563,990,12,33,97,-1.075678391959799
7.76595744680851,7,240,9,4,0.4,1.1102230246251565e-16,0.7326633165829146,0.09433962264150944,995,19,32,49,-0.672462311557789
8.411764705882353,4,204,0,4,0.5,8.104628079763643e-15,0.7155778894472362,0.2765957446808511,995,12,34,33,-0.4105527638190956
8.846153846153847,4,175,0,4,0.6,1.1831646773430293e-12,0.6924623115577889,0.4262295081967213,995,16,38,12,-0.4674371859296483
7.153846153846154,2,33,0,5,0.1,1.9596900435292497e-05,0.18693467336683417,0.43103448275862066,82,31,7,176,0.10994974874371868
7.488888888888889,6,80,3,5,0.2,2.0468253247862833e-07,0.33768844221105526,0.33884297520661155,292,17,13,61,-0.3629145728643216
7.578947368421052,17,239,13,5,0.3,1.1102230246251565e-16,0.7226130653266332,0.13090909090909092,995,12,19,54,-1.5337688442211055
7.387755102040816,1,240,10,5,0.4,1.1102230246251565e-16,0.7266331658291457,0.11439114391143912,995,13,34,64,-0.09969849246231158
8.662337662337663,7,180,0,5,0.5,1.149935818789416e-07,0.6693467336683417,0.45121951219512196,995,18,30,36,-0.6781909547738693
9.1125,5,182,0,5,0.6,1.1631498875175339e-08,0.7316582914572864,0.3157894736842105,995,19,42,14,-0.6109547738693468
7.148148148148148,2,41,0,6,0.1,2.467598010369443e-07,0.19396984924623115,0.49382716049382713,115,24,6,176,0.11969849246231165
6.884615384615385,2,83,0,6,0.2,7.187644923689618e-10,0.3587939698492462,0.41134751773049644,243,12,18,107,-0.003718592964824095
7.121212121212121,7,240,14,6,0.3,1.1102230246251565e-16,0.7085427135678392,0.15789473684210525,985,19,25,67,-0.5991959798994976
7.541666666666667,4,233,10,6,0.4,1.9613199953028015e-12,0.7266331658291457,0.14022140221402213,995,12,37,63,-0.42442211055276385
