prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings,crashes,skids,utility,n_exp,pr_rock
0.10452261306532663,17,0,0.6851851851851852,8.666666666666666,248,13,72,2,1,0.17417085427135684,0,0.05
0.135678391959799,41,4,0.4675324675324675,5.869565217391305,231,81,63,1,2,0.2574874371859297,0,0.1
0.6884422110552764,254,27,0.1779935275080906,6.236363636363636,103,995,79,28,8,-2.51678391959799,0,0.2
0.6954773869346733,242,25,0.1986754966887417,6.728155339805825,99,995,57,39,4,-3.594874371859296,0,0.3
0.7306532663316583,227,8,0.149812734082397,8.284090909090908,31,995,30,42,4,-3.924020100502512,0,0.4
0.13768844221105528,23,0,0.5576923076923077,8.5625,229,18,65,1,1,0.27447236180904533,1,0.05
0.03919597989949749,11,0,0.5769230769230769,6.5,219,24,30,0,1,0.3646231155778895,1,0.1
0.6582914572864321,274,49,0.19174041297935104,5.857142857142857,154,995,22,25,7,-2.1968844221105526,1,0.2
0.6894472361809045,254,28,0.17532467532467533,6.542857142857143,105,995,17,42,3,-3.8881407035175877,1,0.3
0.7095477386934673,228,15,0.20833333333333334,7.51063829787234,73,995,53,40,2,-3.6995979899497486,1,0.4
0.11155778894472362,30,2,0.47368421052631576,7.4,264,15,65,3,1,0.07417085427135693,2,0.05
0.054271356783919596,15,0,0.375,7.714285714285714,211,50,16,1,1,0.26321608040201017,2,0.1
0.678391959798995,267,36,0.16300940438871472,6.201834862385321,116,995,45,27,9,-2.4193969849246226,2,0.2
0.6914572864321608,256,30,0.16339869281045752,6.151785714285714,117,995,49,32,8,-2.927336683417085,2,0.3
0.7336683417085427,207,13,0.2159090909090909,8.213483146067416,54,995,18,59,4,-5.617286432160803,2,0.4
0.033165829145728645,9,1,0.5,5.5,192,18,20,0,0,0.37889447236180906,3,0.05
0.14673366834170853,33,1,0.5074626865671642,7.684210526315789,123,12,77,1,2,0.2537688442211056,3,0.1
0.650251256281407,294,54,0.1378299120234604,5.192,204,987,22,34,6,-3.0865326633165826,3,0.2
0.714572864321608,237,18,0.1625441696113074,6.79047619047619,93,995,54,52,9,-4.947437185929648,3,0.3
0.7226130653266332,220,10,0.2,7.578947368421052,60,995,37,53,6,-5.03286432160804,3,0.4
0.04522613065326633,12,0,0.6129032258064516,5.0,211,12,33,0,2,0.35909547738693476,4,0.05
0.14472361809045226,31,1,0.5507246376811594,6.857142857142857,193,19,72,2,3,0.14643216080402022,4,0.1
0.6130653266331658,221,36,0.13671875,6.431578947368421,136,779,75,30,7,-2.7026130653266325,4,0.2
0.7085427135678392,244,27,0.15570934256055363,7.431578947368421,83,995,49,42,3,-3.880502512562814,4,0.3
0.7246231155778895,226,8,0.17216117216117216,7.36734693877551,60,995,60,44,1,-4.084924623115578,4,0.4
0.0814070351758794,22,2,0.6716417910447762,7.363636363636363,254,12,89,1,0,0.2814070351758795,5,0.05
0.1527638190954774,47,3,0.4777777777777778,5.846153846153846,167,100,69,6,3,-0.2588944723618089,5,0.1
0.6532663316582915,276,48,0.1686746987951807,5.2926829268292686,167,967,55,30,6,-2.6766834170854272,5,0.2
0.7336683417085427,220,11,0.16666666666666666,7.705263157894737,70,995,53,56,7,-5.32251256281407,5,0.3
0.7296482412060301,227,8,0.15298507462686567,7.73404255319149,43,994,43,45,4,-4.217889447236181,5,0.4
0.1507537688442211,31,0,0.5230769230769231,7.142857142857143,184,11,75,1,2,0.26623115577889456,6,0.05
0.16984924623115577,42,2,0.46835443037974683,6.035714285714286,171,87,69,6,3,-0.25567839195979875,6,0.1
0.6613065326633166,277,44,0.17559523809523808,5.576271186440678,157,995,51,26,5,-2.2717587939698487,6,0.2
0.7175879396984924,220,18,0.21428571428571427,6.951456310679611,103,995,68,44,10,-4.153366834170854,6,0.3
0.7386934673366834,211,8,0.18532818532818532,8.0,45,995,48,49,6,-4.644020100502513,6,0.4
0.1035175879396985,17,0,0.6530612244897959,6.866666666666666,260,19,59,1,2,0.2639195979899498,7,0.05
0.01407035175879397,5,1,0.375,7.0,152,18,7,0,0,0.3710552763819096,7,0.1
0.6582914572864321,233,36,0.19377162629757785,6.55,114,915,75,36,7,-3.306231155778894,7,0.2
0.6874371859296482,251,23,0.19032258064516128,6.7254901960784315,84,995,22,36,3,-3.276281407035176,7,0.3
0.7195979899497488,220,11,0.20863309352517986,7.5473684210526315,54,995,64,56,4,-5.324623115577889,7,0.4
0.1407035175879397,29,1,0.5735294117647058,6.666666666666667,246,24,78,0,1,0.37396984924623117,8,0.05
0.10150753768844221,28,0,0.46153846153846156,7.769230769230769,188,31,64,2,1,0.15909547738693475,8,0.1
0.6623115577889447,275,47,0.1791044776119403,5.689655172413793,145,972,72,31,5,-2.7751758793969845,8,0.2
0.7115577889447237,224,12,0.21678321678321677,7.385416666666667,64,995,64,42,5,-3.908643216080402,8,0.3
0.7035175879396985,214,9,0.272108843537415,7.7032967032967035,56,995,46,40,11,-3.783115577889447,8,0.4
0.10854271356783919,24,0,0.5932203389830508,7.2,282,19,55,0,2,0.3694472361809045,9,0.05
0.19095477386934673,53,9,0.39080459770114945,6.161290322580645,169,101,72,4,1,-0.037788944723618,9,0.1
