avg_len_man,crashes,n_RtI,n_emergency,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
4.125,2,24,1,0.06633165829145729,0.5294117647058824,57,1,0,248,0.1832160804020102
4.0,0,4,0,0.008040201005025126,0.0,11,1,0,211,0.3782914572864322
3.9285714285714284,1,22,1,0.05527638190954774,0.45,45,1,1,267,0.27045226130653277
4.45,1,34,2,0.08844221105527639,0.5584415584415584,87,1,1,208,0.2678391959798996
3.2777777777777777,1,27,1,0.0592964824120603,0.425531914893617,51,1,0,257,0.28391959798994987
3.875,0,23,0,0.062311557788944726,0.4772727272727273,48,1,0,233,0.3774874371859297
3.8181818181818183,0,14,0,0.04221105527638191,0.5625,41,1,1,200,0.3715577889447237
5.142857142857143,0,21,0,0.07236180904522613,0.5714285714285714,54,5,0,279,0.38361809045226136
4.529411764705882,0,29,0,0.07738693467336684,0.546875,69,1,0,330,0.38432160804020105
4.333333333333333,0,19,0,0.05226130653266332,0.5869565217391305,52,1,0,240,0.3808040201005026
1.5,0,3,1,0.003015075376884422,0.5,8,1,0,297,0.379497487437186
3.95,1,26,0,0.07939698492462312,0.5737704918032787,71,1,1,263,0.27286432160804025
3.0,0,6,0,0.012060301507537688,0.5714285714285714,14,5,0,264,0.38040201005025126
4.625,0,12,0,0.0371859296482412,0.6,34,1,1,184,0.36804020100502516
4.0,0,5,0,0.016080402010050253,0.6153846153846154,19,1,1,248,0.36824120603015087
4.4,0,9,0,0.022110552763819097,0.25,15,1,0,244,0.382211055276382
5.2,1,6,0,0.02613065326633166,0.625,18,5,0,219,0.27778894472361815
4.583333333333333,0,18,0,0.05527638190954774,0.6,50,1,0,245,0.38402010050251256
5.25,0,19,0,0.06331658291457286,0.6607142857142857,65,4,0,207,0.37708542713567844
4.695652173913044,1,31,1,0.10753768844221105,0.5303030303030303,90,4,4,199,0.2377889447236181
4.0,0,6,0,0.016080402010050253,0.3333333333333333,11,1,0,208,0.37859296482412064
4.0,0,27,0,0.0763819095477387,0.5263157894736842,71,1,0,232,0.38030150753768843
3.5454545454545454,1,15,0,0.03919597989949749,0.6511627906976745,45,1,0,279,0.2816080402010051
3.7,0,28,0,0.0743718592964824,0.5483870967741935,69,1,1,197,0.36854271356783924
4.611111111111111,0,28,1,0.08341708542713568,0.3488372093023256,49,5,2,271,0.362713567839196
3.391304347826087,0,33,2,0.07839195979899498,0.5714285714285714,97,1,3,201,0.3520603015075377
5.333333333333333,0,14,0,0.04824120603015075,0.7358490566037735,60,1,1,235,0.3693467336683417
3.8260869565217392,0,36,2,0.08844221105527639,0.52,85,1,2,276,0.36120603015075387
3.375,1,23,0,0.054271356783919596,0.5490196078431373,56,1,0,259,0.28010050251256285
3.1333333333333333,0,22,0,0.04723618090452261,0.6140350877192983,64,1,1,293,0.37145728643216086
6.0,1,12,0,0.04824120603015075,0.7735849056603774,60,1,0,238,0.27919597989949757
2.9285714285714284,0,23,2,0.04120603015075377,0.5490196078431373,59,1,1,225,0.3635175879396985
3.5,0,19,0,0.04924623115577889,0.6122448979591837,56,3,5,247,0.3307537688442212
4.7,1,18,1,0.04723618090452261,0.6326530612244898,56,1,0,236,0.28291457286432165
4.7,1,13,1,0.04723618090452261,0.4090909090909091,26,1,0,243,0.28
6.2,1,16,1,0.062311557788944726,0.5,35,1,0,293,0.2906532663316584
6.315789473684211,0,30,0,0.11959798994974874,0.47368421052631576,72,3,3,224,0.3517587939698493
3.5,1,5,0,0.01407035175879397,0.16666666666666666,9,1,0,260,0.2835175879396986
6.1875,0,26,0,0.09849246231155778,0.5666666666666667,72,1,1,273,0.3747738693467337
1.6666666666666667,0,5,0,0.005025125628140704,0.2857142857142857,9,1,0,307,0.38281407035175885
4.647058823529412,2,29,0,0.07939698492462312,0.49122807017543857,63,1,1,279,0.17386934673366847
1.0,0,4,0,0.003015075376884422,0.5,10,1,0,302,0.38211055276381917
4.733333333333333,0,23,2,0.07135678391959799,0.6714285714285714,78,1,2,239,0.3624120603015076
5.3,0,13,0,0.053266331658291456,0.5,28,1,1,223,0.3695477386934674
4.833333333333333,0,27,0,0.08743718592964825,0.5645161290322581,80,1,0,235,0.38301507537688445
5.0,0,17,0,0.06030150753768844,0.5277777777777778,40,1,0,244,0.38251256281407037
2.7142857142857144,0,11,0,0.019095477386934675,0.45,20,3,0,252,0.379497487437186
5.0,0,4,0,0.010050251256281407,0.3333333333333333,6,4,0,263,0.3790954773869347
4.666666666666667,0,17,0,0.05628140703517588,0.66,59,5,1,236,0.3720603015075377
3.96,0,39,2,0.09949748743718594,0.5185185185185185,97,1,1,244,0.3666331658291458
6.857142857142857,1,25,1,0.0964824120603015,0.5454545454545454,70,1,4,247,0.24201005025125635
