avg_len_man,crashes,n_RtI,n_emergency,prob_underp_above_th,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
5.384615384615385,1,19,4,4.796532060424852e-10,0.07035175879396985,0.5869565217391305,48,18,1,269,0.27688442211055286
6.25,2,11,0,9.499245873234585e-07,0.05025125628140704,0.5217391304347826,24,17,0,280,0.1831155778894474
7.066666666666666,1,21,1,3.3306690738754696e-16,0.10552763819095477,0.5,45,17,2,252,0.2657286432160805
5.230769230769231,1,21,0,1.2010141769991378e-09,0.06834170854271357,0.631578947368421,61,14,1,240,0.27477386934673376
6.8125,1,23,1,4.551914400963142e-15,0.10954773869346733,0.4523809523809524,48,30,3,236,0.2529648241206031
7.3,2,28,0,1.1102230246251565e-16,0.14673366834170853,0.65,83,31,0,214,0.18844221105527642
7.857142857142857,0,27,0,1.1102230246251565e-16,0.1658291457286432,0.5573770491803278,79,18,5,233,0.33708542713567846
3.5,0,4,0,0.1509978065948303,0.007035175879396985,0.7647058823529411,16,11,0,271,0.38150753768844226
6.0588235294117645,1,27,0,1.615341194138864e-11,0.1035175879396985,0.5970149253731343,73,12,3,258,0.2537688442211056
5.473684210526316,1,38,4,1.1102230246251565e-16,0.10452261306532663,0.5,61,46,1,252,0.27527638190954784
7.2,1,12,0,1.8978618676612768e-10,0.07236180904522613,0.625,32,12,1,248,0.2759798994974876
4.0,1,24,3,1.2610768267418138e-06,0.05226130653266332,0.4,30,37,1,265,0.27356783919598
8.11111111111111,1,15,0,4.494161709445166e-10,0.07336683417085427,0.5,41,12,0,232,0.2814070351758794
6.6,1,13,0,1.0389938687183076e-08,0.06633165829145729,0.7678571428571429,64,29,1,251,0.2727638190954775
6.777777777777778,0,27,0,1.1102230246251565e-16,0.12261306532663317,0.509090909090909,68,11,3,251,0.3550753768844222
4.2,0,14,5,0.013670066934038938,0.021105527638190954,0.5483870967741935,26,25,2,283,0.3624120603015076
6.777777777777778,0,13,1,7.952664193844328e-09,0.061306532663316586,0.4583333333333333,28,25,2,291,0.3596984924623116
7.125,2,26,0,2.7755575615628914e-15,0.1135678391959799,0.5517241379310345,63,24,1,291,0.17688442211055294
5.8125,0,24,0,8.869460721427913e-12,0.09346733668341708,0.6363636363636364,70,11,2,261,0.36884422110552767
7.5,0,20,0,1.1102230246251565e-16,0.12060301507537688,0.6875,78,14,2,274,0.3666331658291458
6.2,0,27,2,5.841993555577574e-13,0.09346733668341708,0.5344827586206896,61,11,1,328,0.37768844221105535
7.333333333333333,0,13,0,8.089765524132986e-10,0.06633165829145729,0.6486486486486487,44,17,1,275,0.3718592964824121
7.565217391304348,1,37,0,1.1102230246251565e-16,0.1748743718592965,0.4032258064516129,72,11,1,243,0.2802010050251257
5.923076923076923,1,22,0,1.4761891709014208e-09,0.0763819095477387,0.4634146341463415,52,14,1,223,0.2701507537688443
6.3125,2,21,0,1.2101430968414206e-14,0.10150753768844221,0.6037735849056604,56,11,1,193,0.1737688442211056
5.470588235294118,2,27,4,3.715916463420399e-12,0.09246231155778895,0.5263157894736842,56,16,0,249,0.18422110552763826
7.55,3,30,0,1.1102230246251565e-16,0.1507537688442211,0.5714285714285714,75,28,2,257,0.06361809045226142
7.0,1,27,2,3.3306690738754696e-16,0.12663316582914572,0.5645161290322581,73,11,2,281,0.262211055276382
6.230769230769231,0,24,0,5.565252703121359e-10,0.0814070351758794,0.5384615384615384,59,11,2,251,0.3634170854271357
6.454545454545454,1,39,2,1.1102230246251565e-16,0.14271356783919598,0.4090909090909091,57,70,4,275,0.250854271356784
4.090909090909091,0,20,2,2.038563275330585e-05,0.04522613065326633,0.5121951219512195,43,22,1,288,0.3730653266331659
7.35,2,34,0,1.1102230246251565e-16,0.14773869346733667,0.5466666666666666,92,22,0,204,0.1831155778894473
7.6923076923076925,0,21,0,1.1102230246251565e-16,0.10050251256281408,0.671875,66,11,0,206,0.3884422110552765
4.0,1,6,2,0.1403048588491772,0.016080402010050253,0.5,8,24,1,246,0.2704522613065328
7.521739130434782,1,35,2,1.1102230246251565e-16,0.17386934673366833,0.4852941176470588,77,11,4,222,0.2495477386934674
4.833333333333333,0,15,1,8.597164979917693e-09,0.05829145728643216,0.6938775510204082,54,18,0,295,0.38381909547738696
6.3125,1,23,0,8.318901123516298e-13,0.10150753768844221,0.5106382978723404,52,18,3,214,0.25356783919598
7.75,3,23,0,1.1286338530425155e-10,0.09346733668341708,0.54,57,11,1,231,0.07226130653266351
7.4,1,34,0,1.1102230246251565e-16,0.1487437185929648,0.39285714285714285,71,12,6,226,0.22140703517587942
6.818181818181818,1,15,1,2.2947861388900037e-09,0.07537688442211055,0.7761194029850746,75,12,2,284,0.26311557788944734
7.555555555555555,1,32,3,1.1102230246251565e-16,0.13668341708542714,0.4074074074074074,63,17,3,238,0.25879396984924635
4.2727272727272725,2,17,1,0.0003658550326561816,0.04723618090452261,0.34615384615384615,20,30,2,218,0.16110552763819108
6.7272727272727275,0,20,3,9.656719868189612e-13,0.0743718592964824,0.47368421052631576,36,11,0,234,0.38120603015075377
8.222222222222221,2,11,0,1.1703066515877936e-08,0.0743718592964824,0.5769230769230769,34,12,1,247,0.1746733668341709
7.3,2,16,0,1.7901521376373353e-08,0.07336683417085427,0.6981132075471698,45,28,0,292,0.18582914572864334
6.545454545454546,1,12,0,1.8408164625949297e-06,0.07236180904522613,0.6470588235294118,43,16,2,311,0.26733668341708555
5.066666666666666,2,19,0,1.1288281420718249e-10,0.0763819095477387,0.6607142857142857,58,11,1,298,0.17788944723618097
5.0625,2,19,0,2.4687940580747636e-10,0.08040201005025126,0.7361111111111112,80,42,1,281,0.17236180904522622
7.857142857142857,1,18,1,1.1102230246251565e-16,0.11055276381909548,0.71875,64,17,1,260,0.2740703517587941
6.6,0,20,0,1.1102230246251565e-16,0.09949748743718594,0.6226415094339622,58,18,0,259,0.3888442211055277
5.666666666666667,2,30,5,3.269539083916584e-10,0.08542713567839195,0.4915254237288136,57,44,2,274,0.164924623115578
7.75,1,31,0,1.1102230246251565e-16,0.15477386934673368,0.515625,73,27,4,237,0.2500502512562815
7.1875,3,23,0,4.440892098500626e-16,0.11457286432160804,0.5660377358490566,60,13,1,303,0.0736683417085428
6.076923076923077,2,18,3,1.6282530879152546e-12,0.07939698492462312,0.5,39,20,0,235,0.1880402010050252
7.0,1,23,0,1.3924417174848713e-12,0.09748743718592964,0.6349206349206349,69,24,0,234,0.28371859296482427
7.5,2,30,1,1.1102230246251565e-16,0.135678391959799,0.5774647887323944,74,20,1,226,0.17788944723618103
8.0,1,26,0,1.1102230246251565e-16,0.12060301507537688,0.5873015873015873,69,13,2,232,0.2703517587939699
6.5,1,17,0,8.58202398035246e-14,0.0914572864321608,0.6666666666666666,64,18,1,252,0.2773869346733669
8.8,0,9,0,1.0903287313568377e-05,0.044221105527638194,0.4,15,11,1,209,0.3716582914572865
7.090909090909091,2,48,8,1.1102230246251565e-16,0.15678391959798996,0.4725274725274725,87,45,2,212,0.16241206030150768
6.875,0,23,0,1.1102230246251565e-16,0.11055276381909548,0.5964912280701754,69,12,3,251,0.3549748743718593
8.25,0,7,0,0.00010385801511336723,0.033165829145728645,0.5,16,20,0,278,0.3819095477386935
6.764705882352941,1,31,1,2.220446049250313e-16,0.11557788944723618,0.5441176470588235,70,24,4,220,0.24502512562814083
8.25,2,21,1,3.2307490016592055e-14,0.09949748743718594,0.5882352941176471,51,25,1,288,0.17798994974874385
7.636363636363637,1,16,0,3.983835483722942e-11,0.08442211055276382,0.7192982456140351,67,15,2,246,0.2620100502512564
5.9,2,31,2,4.3298697960381105e-15,0.1185929648241206,0.4745762711864407,62,11,2,292,0.16512562814070364
8.571428571428571,2,10,1,4.2671638444957694e-08,0.06030150753768844,0.375,17,11,0,259,0.1850251256281408
5.823529411764706,1,26,1,3.2307490016592055e-14,0.09949748743718594,0.5737704918032787,58,25,1,225,0.27356783919597993
5.764705882352941,3,26,2,3.3291147616409944e-12,0.09849246231155778,0.6119402985074627,73,12,1,262,0.07457286432160812
7.208333333333333,4,41,0,1.1102230246251565e-16,0.17386934673366833,0.4875,87,14,1,258,-0.021105527638190798
5.545454545454546,1,17,2,1.3832862377771704e-07,0.06030150753768844,0.6136363636363636,48,12,1,263,0.2725628140703519
7.133333333333334,1,22,2,7.435163595914673e-13,0.10753768844221105,0.6071428571428571,67,12,1,242,0.27195979899497497
6.230769230769231,1,22,3,2.6317836798739336e-12,0.0814070351758794,0.5925925925925926,65,13,1,288,0.27869346733668354
6.666666666666667,1,22,0,1.759348222662993e-11,0.10050251256281408,0.639344262295082,64,14,2,221,0.26331658291457294
6.764705882352941,0,24,0,7.005507285384738e-14,0.11557788944723618,0.6129032258064516,83,18,4,223,0.3447236180904523
6.266666666666667,1,25,3,8.593126210598712e-14,0.09447236180904522,0.6268656716417911,70,13,0,258,0.28663316582914583
7.083333333333333,2,17,0,1.102322455537319e-09,0.08542713567839195,0.6964285714285714,72,12,1,260,0.17226130653266347
6.583333333333333,2,18,0,1.0636780345407715e-10,0.07939698492462312,0.6086956521739131,49,18,2,334,0.16733668341708557
8.285714285714286,0,8,0,5.76711456368173e-10,0.05829145728643216,0.4666666666666667,14,18,0,193,0.3837185929648242
8.11111111111111,1,19,0,1.189779386123746e-10,0.07336683417085427,0.62,55,11,0,233,0.2862311557788945
6.7368421052631575,0,32,1,1.1102230246251565e-16,0.12864321608040202,0.49206349206349204,68,30,1,227,0.3753768844221106
5.866666666666666,0,22,0,1.3933298959045715e-13,0.08743718592964825,0.5686274509803921,54,11,1,271,0.37678391959799
7.333333333333333,0,20,0,8.482103908136196e-14,0.08844221105527639,0.5652173913043478,55,17,1,241,0.3747738693467336
8.578947368421053,1,33,2,1.1102230246251565e-16,0.16381909547738693,0.5352112676056338,90,18,3,238,0.2598994974874373
6.6875,0,24,2,1.1102230246251565e-16,0.10753768844221105,0.5,55,11,2,234,0.3645226130653267
7.666666666666667,1,17,1,7.598941476061327e-10,0.06934673366834171,0.6136363636363636,44,14,0,272,0.2860301507537689
6.461538461538462,2,22,0,1.039457409035549e-11,0.08442211055276382,0.5416666666666666,69,13,1,254,0.17437185929648258
7.333333333333333,1,17,1,6.218248138623039e-12,0.08844221105527639,0.5526315789473685,45,22,3,265,0.25246231155778903
7.764705882352941,1,23,2,1.4432899320127035e-15,0.13266331658291458,0.6714285714285714,87,17,6,269,0.2256281407035177
7.05,0,38,2,1.1102230246251565e-16,0.1407035175879397,0.5189873417721519,89,40,5,199,0.3362814070351759
6.076923076923077,1,20,0,2.780220498266317e-11,0.07939698492462312,0.6,53,23,2,243,0.2653266331658292
6.333333333333333,2,28,1,2.2393198406689407e-13,0.09547738693467336,0.4716981132075472,53,24,0,239,0.18050251256281422
4.875,1,12,1,0.00045050176026095734,0.03919597989949749,0.3333333333333333,16,25,1,223,0.2679396984924624
4.75,1,16,5,0.0006316134355238701,0.03819095477386935,0.4482758620689655,15,39,0,212,0.28180904522613076
8.75,2,22,0,7.438494264988549e-15,0.10552763819095477,0.6271186440677966,74,15,1,240,0.17497487437185938
5.5625,1,20,0,1.4930390257461568e-11,0.08944723618090453,0.6428571428571429,58,21,1,275,0.2729648241206031
9.0,1,18,1,2.427946732552755e-12,0.09045226130653267,0.6538461538461539,65,11,2,285,0.266532663316583
6.846153846153846,0,23,0,2.289279876777073e-13,0.08944723618090453,0.5106382978723404,54,18,0,240,0.3879396984924623
4.5625,1,23,0,1.1572298674877857e-11,0.07236180904522613,0.6515151515151515,64,11,0,304,0.2857286432160805
7.0,1,29,0,8.881784197001252e-16,0.13366834170854272,0.4727272727272727,60,15,5,235,0.23889447236180913
6.0,5,17,0,4.869421077469127e-08,0.08442211055276382,0.6382978723404256,49,13,1,244,-0.12743718592964812
7.125,1,25,1,1.6653345369377348e-15,0.11457286432160804,0.576271186440678,68,12,3,254,0.2559798994974875
5.5,0,12,0,1.1302990776673738e-07,0.05527638190954774,0.6666666666666666,39,11,2,284,0.3657286432160805
4.846153846153846,0,19,0,8.5493256918312e-10,0.06331658291457286,0.6545454545454545,54,13,0,274,0.38542713567839204
4.666666666666667,1,8,1,0.0033707236815515573,0.02814070351758794,0.38461538461538464,9,21,0,239,0.27959798994974877
7.384615384615385,2,19,0,7.216449660063518e-15,0.0964824120603015,0.6415094339622641,57,11,2,213,0.16713567839195992
7.125,1,26,3,1.1102230246251565e-16,0.11457286432160804,0.5517241379310345,63,30,2,282,0.26713567839195995
6.866666666666666,2,26,2,1.1102230246251565e-16,0.1035175879396985,0.6708860759493671,76,43,0,233,0.18542713567839214
