avg_len_man,crashes,n_RtI,n_emergency,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
7.066666666666666,1,17,0,0.10653266331658291,0.6382978723404256,51,11,1,248,0.27748743718592966
6.833333333333333,0,26,0,0.12361809045226131,0.6,78,12,3,247,0.35738693467336685
7.0,2,33,3,0.1407035175879397,0.49230769230769234,60,72,3,270,0.15577889447236193
6.5,1,29,0,0.11758793969849246,0.5,67,11,0,297,0.28422110552763824
6.111111111111111,1,29,1,0.11055276381909548,0.5915492957746479,76,22,3,254,0.2530653266331659
6.583333333333333,0,18,0,0.07939698492462312,0.6538461538461539,55,12,0,253,0.38381909547738696
8.294117647058824,4,24,0,0.14170854271356784,0.6521739130434783,82,11,3,196,-0.043618090452261116
7.705882352941177,1,28,2,0.13165829145728644,0.4909090909090909,63,21,2,285,0.2675376884422111
7.285714285714286,1,21,2,0.10251256281407035,0.5625,58,12,2,186,0.26492462311557796
5.125,1,32,1,0.08241206030150754,0.5492957746478874,67,48,0,320,0.28663316582914583
6.277777777777778,1,29,3,0.1135678391959799,0.5735294117647058,67,17,2,198,0.26512562814070356
7.0,0,8,0,0.034170854271356785,0.4666666666666667,15,18,1,238,0.3719597989949749
5.636363636363637,1,20,2,0.062311557788944726,0.5918367346938775,50,14,1,220,0.271959798994975
7.5,2,26,0,0.10552763819095477,0.543859649122807,67,24,3,242,0.15326633165829154
6.7368421052631575,1,26,0,0.12864321608040202,0.6119402985074627,71,11,2,252,0.2680402010050252
6.538461538461538,0,22,2,0.08542713567839195,0.6071428571428571,61,11,1,197,0.3741708542713569
5.15,1,34,1,0.1035175879396985,0.2916666666666667,47,44,2,230,0.2628140703517589
7.5,2,28,0,0.12060301507537688,0.6111111111111112,81,26,2,209,0.16422110552763833
5.909090909090909,1,21,4,0.06532663316582915,0.631578947368421,53,35,1,290,0.2734673366834172
7.923076923076923,4,23,2,0.1035175879396985,0.5818181818181818,67,13,2,291,-0.036683417085426995
7.4,3,17,0,0.0743718592964824,0.45161290322580644,41,12,2,216,0.06311557788944738
7.733333333333333,0,23,0,0.11658291457286432,0.640625,64,46,2,217,0.3645226130653267
6.5,3,28,0,0.11758793969849246,0.44,54,11,0,248,0.08442211055276397
6.833333333333333,0,27,0,0.08241206030150754,0.55,71,12,4,309,0.3418090452261307
5.8,1,26,1,0.11557788944723618,0.5666666666666667,74,18,1,259,0.2768844221105528
7.545454545454546,1,17,0,0.08341708542713568,0.6382978723404256,51,17,2,354,0.2688442211055277
7.0,0,21,0,0.0914572864321608,0.5531914893617021,50,18,0,276,0.38452261306532665
7.666666666666667,0,30,0,0.16180904522613065,0.5161290322580645,77,11,1,215,0.3775879396984925
5.5,0,24,3,0.08844221105527639,0.6065573770491803,61,12,2,233,0.36834170854271364
8.25,1,23,4,0.09949748743718594,0.5208333333333334,48,15,1,220,0.2765829145728644
7.181818181818182,4,35,1,0.1577889447236181,0.4852941176470588,77,25,4,230,-0.05517587939698475
6.5625,0,30,4,0.10552763819095477,0.5384615384615384,60,17,1,248,0.37718592964824127
8.529411764705882,4,28,0,0.1457286432160804,0.5,62,32,3,224,-0.042713567839195866
6.9523809523809526,1,38,1,0.14673366834170853,0.5,82,13,1,219,0.27688442211055286
6.529411764705882,1,24,0,0.11155778894472362,0.6,66,20,1,297,0.27829145728643223
5.5,2,21,1,0.06633165829145729,0.5333333333333333,38,42,2,252,0.16060301507537697
7.15,1,33,0,0.14371859296482412,0.5352112676056338,87,15,3,188,0.2538693467336684
6.117647058823529,1,23,0,0.10452261306532663,0.5892857142857143,64,13,3,248,0.25356783919597997
6.928571428571429,1,20,0,0.09748743718592964,0.6078431372549019,58,12,1,238,0.2761809045226131
8.642857142857142,3,24,0,0.12160804020100502,0.5294117647058824,61,12,1,248,0.07949748743718611
6.083333333333333,1,14,0,0.07336683417085427,0.5625,34,17,1,248,0.27467336683417093
6.7,1,16,0,0.06733668341708543,0.5,32,14,1,266,0.2737688442211056
7.230769230769231,1,22,0,0.09447236180904522,0.5769230769230769,57,19,1,296,0.27155778894472365
4.428571428571429,2,10,2,0.031155778894472363,0.5652173913043478,25,24,1,285,0.17396984924623135
6.625,2,25,1,0.10653266331658291,0.576271186440678,54,34,1,178,0.16984924623115594
9.0,1,4,0,0.018090452261306532,0.42857142857142855,11,21,0,265,0.281708542713568
6.0588235294117645,1,29,5,0.1035175879396985,0.5606060606060606,69,19,1,241,0.27658291457286444
5.538461538461538,1,21,1,0.07236180904522613,0.5531914893617021,50,11,1,291,0.2774874371859298
7.153846153846154,0,18,0,0.09346733668341708,0.6170212765957447,52,15,5,244,0.338391959798995
4.666666666666667,0,19,0,0.07035175879396985,0.6346153846153846,53,19,1,253,0.3746733668341709
7.7,1,16,0,0.07738693467336684,0.4838709677419355,40,18,1,252,0.274070351758794
6.761904761904762,0,32,0,0.14271356783919598,0.5616438356164384,81,18,1,220,0.37839195979899504
7.222222222222222,1,23,0,0.1306532663316583,0.6461538461538462,78,23,2,227,0.26502512562814073
6.538461538461538,0,19,0,0.08542713567839195,0.6122448979591837,52,19,1,263,0.3784924623115578
6.7272727272727275,3,15,0,0.0743718592964824,0.6666666666666666,51,12,1,238,0.0726633165829147
7.1,2,15,2,0.07135678391959799,0.6052631578947368,37,23,1,217,0.17185929648241222
5.5,0,22,0,0.09949748743718594,0.6507936507936508,60,22,0,254,0.38793969849246235
5.666666666666667,0,24,0,0.08442211055276382,0.5932203389830508,62,16,2,243,0.3687437185929649
7.315789473684211,2,31,2,0.13869346733668342,0.515625,75,11,2,250,0.16643216080402018
6.647058823529412,0,24,0,0.1135678391959799,0.6,72,12,1,237,0.38090452261306545
6.714285714285714,1,21,0,0.09447236180904522,0.5227272727272727,45,17,1,274,0.2808040201005026
6.0,2,19,0,0.0964824120603015,0.6984126984126984,64,18,0,250,0.18763819095477405
6.5,1,36,4,0.1306532663316583,0.49295774647887325,79,31,2,256,0.26522613065326645
8.346153846153847,2,40,0,0.21809045226130652,0.4594594594594595,109,20,3,190,0.1580904522613066
4.9375,0,24,1,0.07939698492462312,0.6363636363636364,71,17,1,220,0.3741708542713569
7.0,1,37,0,0.15477386934673368,0.463768115942029,76,15,3,195,0.25889447236180907
6.0,1,18,0,0.08442211055276382,0.45454545454545453,40,11,0,236,0.28402010050251264
8.0,0,15,0,0.06432160804020101,0.4,24,31,1,206,0.374070351758794
7.190476190476191,1,28,0,0.15175879396984926,0.5757575757575758,78,21,4,280,0.2466331658291458
6.3125,1,23,0,0.09949748743718594,0.6101694915254238,67,19,3,272,0.25678391959799
6.142857142857143,0,13,4,0.04321608040201005,0.5517241379310345,28,11,0,265,0.38281407035175885
7.3125,3,23,3,0.11758793969849246,0.5818181818181818,70,18,5,269,0.0328643216080403
6.133333333333334,0,28,2,0.09246231155778895,0.5757575757575758,83,13,3,255,0.3522613065326633
8.0,2,27,0,0.14472361809045226,0.6029411764705882,86,11,6,241,0.12834170854271368
6.6,2,26,0,0.09949748743718594,0.4222222222222222,43,31,0,195,0.18201005025125638
6.826086956521739,3,37,2,0.1577889447236181,0.5316455696202531,87,13,3,226,0.05085427135678406
7.0,0,7,3,0.01407035175879397,0.4166666666666667,8,24,0,240,0.38361809045226136
6.681818181818182,4,35,3,0.14773869346733667,0.4852941176470588,67,50,1,257,-0.022211055276381717
7.0,0,23,4,0.08442211055276382,0.6515151515151515,65,18,1,235,0.374070351758794
6.526315789473684,1,28,0,0.12462311557788945,0.5692307692307692,75,12,0,261,0.28763819095477394
5.9411764705882355,2,24,2,0.10150753768844221,0.625,69,12,2,261,0.16462311557788958
6.571428571428571,0,11,2,0.04623115577889447,0.42105263157894735,22,11,0,231,0.3776884422110553
5.892857142857143,1,51,4,0.1658291457286432,0.39285714285714285,88,47,1,281,0.2796984924623116
5.444444444444445,0,13,0,0.04924623115577889,0.59375,26,29,1,213,0.37276381909547746
6.142857142857143,1,10,0,0.04321608040201005,0.6428571428571429,30,16,1,227,0.27055276381909554
7.2727272727272725,1,17,2,0.08040201005025126,0.6909090909090909,65,12,1,271,0.27738693467336695
6.875,0,13,0,0.05527638190954774,0.59375,39,12,0,255,0.3829145728643217
6.529411764705882,2,35,4,0.11155778894472362,0.4696969696969697,82,38,2,279,0.1654271356783921
4.428571428571429,0,11,0,0.031155778894472363,0.47619047619047616,22,12,0,339,0.3846231155778895
5.944444444444445,3,27,2,0.10653266331658291,0.509090909090909,59,11,2,267,0.0626130653266333
7.923076923076923,3,25,0,0.1035175879396985,0.6031746031746031,63,11,0,221,0.08613065326633178
3.0,0,5,1,0.009045226130653266,0.5454545454545454,8,17,0,289,0.3835175879396986
6.5,2,7,0,0.03919597989949749,0.5,15,25,0,217,0.18100502512562827
6.294117647058823,1,27,0,0.10753768844221105,0.55,67,12,3,308,0.2573869346733669
7.5,0,12,0,0.06030150753768844,0.6,30,12,1,263,0.3752763819095478
6.65,4,30,3,0.13266331658291458,0.5161290322580645,71,11,1,212,-0.020100502512562686
5.666666666666667,0,8,0,0.034170854271356785,0.42857142857142855,19,18,2,299,0.3630150753768845
5.764705882352941,1,24,2,0.09849246231155778,0.5636363636363636,55,21,1,240,0.2764824120603016
6.642857142857143,0,22,1,0.09346733668341708,0.5111111111111111,44,31,1,276,0.3759798994974875
7.9375,1,29,2,0.12763819095477386,0.532258064516129,70,12,2,225,0.26723618090452267
8.411764705882353,1,27,2,0.14371859296482412,0.55,74,17,2,240,0.26170854271356786
6.5625,2,23,1,0.10552763819095477,0.5892857142857143,54,46,1,294,0.17597989949748757
6.214285714285714,1,22,0,0.08743718592964825,0.5849056603773585,58,17,0,247,0.28331658291457296
7.409090909090909,4,43,1,0.16381909547738693,0.410958904109589,83,30,3,232,-0.0431155778894471
5.166666666666667,1,9,0,0.031155778894472363,0.3076923076923077,10,27,0,236,0.28331658291457296
8.133333333333333,0,25,1,0.12261306532663317,0.5689655172413793,77,23,2,272,0.36381909547738694
7.0,1,6,1,0.035175879396984924,0.5384615384615384,21,12,0,282,0.2831155778894473
6.9411764705882355,1,19,0,0.1185929648241206,0.5476190476190477,48,24,1,249,0.27537688442211067
5.904761904761905,2,29,0,0.12462311557788945,0.5857142857142857,81,24,1,248,0.1754773869346735
4.666666666666667,1,5,2,0.01407035175879397,0.4444444444444444,11,12,0,281,0.28040201005025134
4.833333333333333,0,9,0,0.02914572864321608,0.64,19,21,0,260,0.3831155778894473
6.933333333333334,2,25,0,0.10452261306532663,0.5192307692307693,57,16,1,248,0.1771859296482413
7.857142857142857,0,22,0,0.11055276381909548,0.6,60,12,2,250,0.36663316582914574
7.166666666666667,0,20,2,0.0864321608040201,0.5833333333333334,48,11,0,315,0.3853266331658291
5.583333333333333,1,17,0,0.06733668341708543,0.6730769230769231,53,14,0,251,0.28271356783919604
6.2,1,16,3,0.062311557788944726,0.4482758620689655,28,11,1,255,0.27417085427135685
6.636363636363637,0,20,2,0.07336683417085427,0.6428571428571429,63,12,3,255,0.3516582914572865
6.6923076923076925,3,24,1,0.0864321608040201,0.5471698113207547,63,49,0,198,0.08633165829145743
7.333333333333333,1,18,0,0.08844221105527639,0.64,51,13,1,257,0.27487437185929653
7.0,1,26,0,0.13266331658291458,0.6119402985074627,74,20,3,245,0.2582914572864322
6.5625,1,27,0,0.10552763819095477,0.6029411764705882,74,12,1,223,0.27909547738693485
7.315789473684211,1,32,0,0.13969849246231156,0.5897435897435898,83,23,1,196,0.27809045226130663
7.0625,3,25,1,0.1135678391959799,0.5,51,12,0,222,0.08924623115577905
5.2,0,11,0,0.02613065326633166,0.5,22,18,0,225,0.3817085427135679
6.222222222222222,1,33,0,0.11155778894472362,0.5285714285714286,85,12,2,269,0.26150753768844226
7.384615384615385,0,26,2,0.0964824120603015,0.5666666666666667,73,25,3,256,0.3560804020100503
6.230769230769231,1,22,0,0.0814070351758794,0.6140350877192983,59,12,1,277,0.2766834170854272
6.666666666666667,1,23,0,0.10050251256281408,0.6166666666666667,65,12,0,299,0.28582914572864326
7.076923076923077,1,19,0,0.09246231155778895,0.6122448979591837,56,32,1,202,0.2727638190954775
7.9375,4,21,0,0.12562814070351758,0.5882352941176471,56,21,1,238,-0.021407035175879153
5.533333333333333,1,22,1,0.08341708542713568,0.6271186440677966,52,25,1,328,0.2766834170854272
6.75,0,22,0,0.0814070351758794,0.5217391304347826,48,17,1,249,0.3742713567839197
5.25,0,6,0,0.021105527638190954,0.5714285714285714,13,13,0,227,0.38251256281407037
7.0,2,19,1,0.08442211055276382,0.6415094339622641,67,17,2,327,0.1611055276381911
5.857142857142857,0,17,3,0.04120603015075377,0.2608695652173913,20,38,1,304,0.3732663316582915
6.333333333333333,0,32,3,0.11457286432160804,0.5616438356164384,76,20,3,244,0.3557788944723619
7.0,3,20,0,0.10552763819095477,0.6491228070175439,62,32,0,263,0.08723618090452279
5.4,1,8,0,0.027135678391959798,0.68,25,16,0,258,0.28190954773869353
8.0,0,20,1,0.08844221105527639,0.42857142857142855,36,11,1,228,0.3741708542713569
6.304347826086956,3,35,2,0.1457286432160804,0.5138888888888888,83,42,7,234,0.014673366834170991
7.0,0,29,0,0.09849246231155778,0.5538461538461539,73,12,2,268,0.3651256281407036
5.705882352941177,0,29,2,0.0964824120603015,0.49122807017543857,59,21,1,230,0.37236180904522614
6.666666666666667,4,42,3,0.1407035175879397,0.4878048780487805,72,66,0,284,-0.00854271356783901
7.714285714285714,1,21,0,0.10854271356783919,0.5434782608695652,54,11,1,258,0.2770854271356785
7.8125,1,30,0,0.12562814070351758,0.589041095890411,85,12,3,248,0.25638190954773876
6.933333333333334,3,24,0,0.10452261306532663,0.6363636363636364,73,18,2,251,0.05688442211055287
6.181818181818182,0,20,4,0.06834170854271357,0.6,42,25,0,234,0.38713567839195984
8.3,1,38,3,0.16683417085427135,0.43283582089552236,64,29,2,239,0.27035175879396994
7.0,2,32,0,0.12663316582914572,0.39622641509433965,69,23,7,235,0.11507537688442225
8.25,1,19,0,0.09949748743718594,0.6724137931034483,64,18,1,226,0.27477386934673376
6.277777777777778,2,32,2,0.1135678391959799,0.5294117647058824,74,31,3,291,0.1534673366834172
6.769230769230769,0,18,0,0.08743718592964825,0.5714285714285714,46,25,3,268,0.3554773869346734
7.3,2,37,2,0.14673366834170853,0.421875,72,39,2,223,0.1629145728643217
6.6,3,20,0,0.09949748743718594,0.5918367346938775,64,16,2,195,0.058793969849246376
5.923076923076923,2,19,0,0.07738693467336684,0.5681818181818182,51,12,0,263,0.18110552763819113
6.933333333333334,1,28,0,0.10452261306532663,0.6111111111111112,83,13,2,246,0.2653266331658293
