avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_rock,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
8.76086956521739,25,52,0,6,0.6,0.4050251256281407,0.9120135363790186,37,995,0,2,-2.2208040201005024
6.133333333333334,1,20,0,7,0.1,0.09246231155778895,0.5454545454545454,50,16,4,208,0.2343718592964825
6.349056603773585,39,239,29,7,0.2,0.6753768844221105,0.15547703180212014,22,953,11,141,-3.630854271356784
6.653846153846154,33,252,23,7,0.3,0.6944723618090453,0.16831683168316833,57,995,4,82,-2.9815075376884415
8.266666666666667,49,207,9,7,0.4,0.7477386934673367,0.172,66,995,5,47,-4.637788944723618
8.395061728395062,52,142,3,7,0.5,0.6824120603015076,0.5492063492063493,66,995,1,31,-4.907839195979899
8.8,39,83,0,7,0.6,0.5296482412060302,0.8222698072805139,51,995,3,5,-3.6482412060301512
6.5,2,30,3,8,0.1,0.11758793969849246,0.45454545454545453,60,19,1,199,0.16422110552763827
5.552631578947368,30,291,64,8,0.2,0.6351758793969849,0.19613259668508287,48,995,4,171,-2.66964824120603
7.154639175257732,41,247,19,8,0.3,0.6944723618090453,0.1848184818481848,55,995,5,73,-3.811758793969849
7.595744680851064,53,221,14,8,0.4,0.7175879396984924,0.21071428571428572,41,995,5,57,-5.028542713567838
8.563636363636364,44,76,0,8,0.5,0.4723618090452261,0.8549618320610687,50,995,3,14,-4.136884422110553
9.553191489361701,34,62,0,8,0.6,0.45025125628140705,0.8864468864468864,45,995,4,4,-3.1566834170854268
7.9411764705882355,4,24,0,9,0.1,0.135678391959799,0.6307692307692307,79,13,5,154,-0.07467336683417074
5.918918918918919,29,267,36,9,0.2,0.6603015075376885,0.20771513353115728,53,995,4,126,-2.5720603015075376
7.202020202020202,47,238,18,9,0.3,0.7155778894472362,0.15602836879432624,46,995,3,72,-4.390452261306533
7.76595744680851,50,220,7,9,0.4,0.7316582914572864,0.17293233082706766,17,995,3,43,-4.711356783919598
8.854545454545455,34,63,0,9,0.5,0.4884422110552764,0.8759842519685039,56,995,4,17,-3.147035175879396
9.222222222222221,26,56,0,9,0.6,0.41608040201005025,0.903448275862069,26,995,1,11,-2.3322613065326636
5.25,2,35,6,10,0.1,0.10552763819095477,0.39655172413793105,54,45,2,173,0.1513567839195981
6.317757009345795,29,266,39,10,0.2,0.6773869346733669,0.16875,14,995,5,130,-2.5767839195979896
6.844660194174757,55,228,19,10,0.3,0.7075376884422111,0.21379310344827587,64,995,8,85,-5.235678391959799
7.16,50,212,5,10,0.4,0.7175879396984924,0.24285714285714285,63,995,3,64,-4.710251256281408
9.318181818181818,40,117,0,10,0.5,0.6160804020100502,0.6929133858267716,61,995,6,14,-3.763718592964824
9.34,29,60,0,10,0.6,0.46834170854271356,0.8863636363636364,21,995,0,9,-2.615075376884422
6.9411764705882355,4,30,1,11,0.1,0.1185929648241206,0.34782608695652173,58,31,2,183,-0.04864321608040189
5.229508196721311,33,300,60,11,0.2,0.6402010050251257,0.15966386554621848,59,968,8,172,-3.0041206030150747
6.783018867924528,41,228,19,11,0.3,0.7206030150753768,0.17391304347826086,19,987,7,107,-3.820402010050251
