prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings
0.15477386934673368,52,9,0.10344827586206896,4.84375,317,76,45
0.11658291457286432,63,17,0.1,3.411764705882353,367,37,65
0.19899497487437187,64,10,0.07246376811594203,5.2105263157894735,317,33,81
0.12261306532663317,104,35,0.045871559633027525,2.772727272727273,330,147,47
0.21608040201005024,73,15,0.0759493670886076,5.119047619047619,274,57,83
0.16884422110552763,62,14,0.08823529411764706,5.419354838709677,253,30,76
0.1135678391959799,50,10,0.13793103448275862,4.185185185185185,286,33,73
0.1577889447236181,66,16,0.07042253521126761,4.243243243243243,319,32,84
0.15678391959798996,55,10,0.08333333333333333,4.485714285714286,317,22,69
0.10552763819095477,45,12,0.1346153846153846,4.416666666666667,273,22,56
0.08743718592964825,51,23,0.13559322033898305,3.625,382,31,51
0.18592964824120603,69,19,0.17857142857142858,4.743589743589744,281,42,81
0.15477386934673368,68,15,0.10526315789473684,4.052631578947368,275,32,94
0.14271356783919598,52,12,0.13333333333333333,5.2592592592592595,332,22,68
0.15175879396984926,66,16,0.12,4.314285714285714,265,23,94
0.05728643216080402,33,14,0.13157894736842105,3.8,266,43,29
0.11758793969849246,67,21,0.0945945945945946,3.9,333,59,59
0.11055276381909548,53,18,0.1016949152542373,4.230769230769231,308,21,56
0.14371859296482412,52,8,0.08771929824561403,3.9722222222222223,294,22,69
0.1507537688442211,59,17,0.14492753623188406,4.838709677419355,277,40,64
0.12964824120603016,47,8,0.11320754716981132,5.16,296,45,57
0.2,80,17,0.047619047619047616,4.3478260869565215,251,112,146
0.10552763819095477,56,23,0.125,4.24,360,33,69
0.13768844221105528,57,16,0.08064516129032258,4.419354838709677,279,60,60
0.10251256281407035,63,26,0.07352941176470588,3.7777777777777777,325,22,64
0.11055276381909548,64,22,0.08571428571428572,4.230769230769231,343,25,70
0.1628140703517588,65,18,0.07142857142857142,4.764705882352941,249,24,89
0.19195979899497487,118,37,0.04838709677419355,3.537037037037037,332,157,65
0.207035175879397,108,32,0.05263157894736842,4.291666666666667,339,130,77
0.10452261306532663,53,20,0.11666666666666667,4.038461538461538,349,32,54
0.12160804020100502,46,10,0.11538461538461539,5.041666666666667,369,34,67
0.12562814070351758,68,19,0.0684931506849315,3.787878787878788,295,90,69
0.15477386934673368,73,29,0.09876543209876543,4.666666666666667,326,41,72
0.12763819095477386,47,10,0.11320754716981132,4.096774193548387,257,33,80
0.135678391959799,51,10,0.08928571428571429,4.5,304,44,70
0.12060301507537688,71,19,0.08974358974358974,3.5294117647058822,329,119,52
0.14773869346733667,57,10,0.09523809523809523,4.59375,252,49,64
0.15879396984924624,64,16,0.08571428571428572,4.647058823529412,311,31,79
0.13768844221105528,70,15,0.05405405405405406,3.8055555555555554,316,42,88
0.09849246231155778,55,17,0.11290322580645161,3.3,370,44,57
0.14271356783919598,85,25,0.06593406593406594,3.6666666666666665,315,65,102
0.09346733668341708,45,9,0.08163265306122448,3.576923076923077,248,43,39
0.135678391959799,81,27,0.0898876404494382,3.75,267,42,98
0.11758793969849246,47,9,0.16071428571428573,4.068965517241379,358,23,66
0.15879396984924624,80,19,0.10112359550561797,3.95,312,62,79
0.14673366834170853,53,10,0.11666666666666667,4.424242424242424,309,44,66
0.11256281407035176,52,19,0.11864406779661017,4.869565217391305,282,33,65
0.12261306532663317,50,9,0.07407407407407407,4.206896551724138,335,39,80
0.10150753768844221,45,12,0.1346153846153846,4.04,282,22,65
0.1798994974874372,63,11,0.1,5.142857142857143,297,37,83
0.15376884422110554,73,18,0.0641025641025641,4.428571428571429,294,52,71
0.14974874371859295,64,23,0.09859154929577464,5.137931034482759,337,31,75
0.08442211055276382,53,18,0.1016949152542373,3.230769230769231,367,48,53
0.16080402010050251,67,10,0.0821917808219178,4.2105263157894735,292,84,70
0.1577889447236181,76,17,0.06172839506172839,4.514285714285714,337,71,71
0.16884422110552763,66,17,0.0958904109589041,4.8,301,67,79
0.1035175879396985,61,22,0.06153846153846154,3.8518518518518516,347,25,89
0.12864321608040202,59,11,0.11940298507462686,3.657142857142857,327,25,88
0.15477386934673368,67,14,0.06944444444444445,4.052631578947368,312,43,76
0.11055276381909548,69,24,0.11538461538461539,3.6666666666666665,334,23,105
0.10954773869346733,57,12,0.09523809523809523,4.037037037037037,310,33,65
0.13869346733668342,69,28,0.06756756756756757,4.3125,271,32,67
0.13869346733668342,66,17,0.08333333333333333,4.181818181818182,289,41,77
0.0964824120603015,54,17,0.06896551724137931,4.0,325,54,55
0.12964824120603016,66,16,0.05714285714285714,3.4210526315789473,283,21,76
0.11658291457286432,52,15,0.13333333333333333,4.0,311,23,91
0.15477386934673368,53,12,0.1016949152542373,4.666666666666667,279,33,63
0.1527638190954774,52,9,0.08771929824561403,5.066666666666666,273,41,83
