avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_puddle,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.066666666666666,1,20,0,0,0.1,0.0914572864321608,0.6,59,12,1,238,0.2695477386934674
7.589743589743589,2,65,3,0,0.2,0.2964824120603015,0.4036697247706422,218,12,8,95,0.08633165829145735
7.091836734693878,6,246,23,0,0.3,0.6974874371859296,0.18,995,17,28,81,-0.5264321608040202
6.98,4,242,7,0,0.4,0.7015075376884422,0.18243243243243243,995,13,34,66,-0.4010050251256282
7.935483870967742,7,213,0,0,0.5,0.7407035175879397,0.17120622568093385,995,13,32,28,-0.7018090452261307
8.692307692307692,2,180,0,0,0.6,0.6804020100502512,0.43217665615141954,994,28,25,9,-0.13658291457286434
6.761904761904762,1,29,0,1,0.1,0.14170854271356784,0.5735294117647058,81,12,5,177,0.22944723618090457
6.543478260869565,5,76,1,1,0.2,0.3015075376884422,0.40625,237,19,9,107,-0.21798994974874364
6.4766355140186915,7,266,31,1,0.3,0.6944723618090453,0.12211221122112212,995,12,28,100,-0.6148743718592965
7.212121212121212,4,236,12,1,0.4,0.7165829145728643,0.1601423487544484,994,12,29,62,-0.35055276381909556
7.621052631578947,8,233,9,1,0.5,0.7276381909547739,0.13703703703703704,992,25,34,54,-0.8087437185929649
9.486486486486486,7,186,0,1,0.6,0.7045226130653266,0.3651877133105802,995,26,34,12,-0.7374874371859297
7.655172413793103,0,49,2,2,0.1,0.22311557788944725,0.4787234042553192,136,19,3,200,0.3534673366834171
6.980769230769231,2,74,2,2,0.2,0.36482412060301506,0.4393939393939394,271,12,23,124,-0.05638190954773866
7.173469387755102,7,257,13,2,0.3,0.7055276381909548,0.11986301369863013,995,12,25,73,-0.5947738693467336
7.137254901960785,9,228,8,2,0.4,0.7306532663316583,0.14606741573033707,995,12,35,66,-0.9059296482412061
8.186046511627907,8,208,0,2,0.5,0.7065326633165829,0.2852233676975945,995,31,45,32,-0.930251256281407
8.507246376811594,3,144,0,2,0.6,0.5889447236180905,0.6470588235294118,995,16,36,16,-0.34763819095477383
6.434782608695652,1,33,2,3,0.1,0.1487437185929648,0.5975609756097561,98,12,7,199,0.21206030150753774
6.347368421052631,5,230,28,3,0.2,0.6050251256281407,0.15441176470588236,765,11,19,123,-0.3132663316582914
6.796116504854369,14,249,24,3,0.3,0.7025125628140704,0.15593220338983052,994,13,22,89,-1.2675376884422114
6.75,7,249,8,3,0.4,0.7045226130653266,0.15017064846416384,995,46,37,66,-0.7348743718592965
8.590361445783133,4,184,0,3,0.5,0.7155778894472362,0.3475177304964539,995,38,41,22,-0.48824120603015075
8.231707317073171,1,185,0,3,0.6,0.6773869346733669,0.421875,995,26,32,23,-0.1130653266331658
3.125,0,10,0,4,0.1,0.02512562814070352,0.4444444444444444,15,12,0,196,0.37919597989949755
7.032258064516129,5,137,26,4,0.2,0.4381909547738693,0.29015544041450775,390,17,15,130,-0.27216080402010046
6.88,4,247,17,4,0.3,0.6904522613065327,0.16554054054054054,964,28,39,95,-0.4291457286432161
7.494845360824742,9,234,6,4,0.4,0.7296482412060301,0.12686567164179105,995,45,38,49,-0.941105527638191
8.045454545454545,5,217,7,4,0.5,0.7105527638190955,0.24390243902439024,993,13,28,45,-0.45577889447236175
9.012658227848101,2,186,0,4,0.6,0.7135678391959799,0.34507042253521125,995,12,48,16,-0.3735678391959799
7.090909090909091,1,34,0,5,0.1,0.15678391959798996,0.5853658536585366,96,19,6,215,0.22140703517587942
8.25,1,65,0,5,0.2,0.36482412060301506,0.4881889763779528,243,12,14,100,0.13015075376884425
6.785714285714286,3,248,21,5,0.3,0.6683417085427136,0.24620060790273557,995,12,22,74,-0.16070351758793971
7.422680412371134,7,245,17,5,0.4,0.7226130653266332,0.10909090909090909,995,12,47,54,-0.8319597989949749
8.413793103448276,8,212,3,5,0.5,0.7346733668341708,0.19391634980988592,995,19,48,30,-0.9561809045226132
8.986842105263158,5,174,0,5,0.6,0.685427135678392,0.4423076923076923,995,29,37,3,-0.5595979899497489
7.846153846153846,3,42,6,6,0.1,0.2050251256281407,0.6410256410256411,144,47,6,176,0.02130653266331668
6.317757009345795,5,262,34,6,0.2,0.678391959798995,0.09965635738831616,930,25,30,131,-0.4189949748743718
6.427184466019417,14,259,24,6,0.3,0.664321608040201,0.1751592356687898,959,28,23,102,-1.2681407035175878
